anderer / anderes / andere	autre
das ist etwas anderes	c'est autre chose

vor / davor / vorher	avant
vor drei Uhr	avant trois heures
ein Tag vorher	un jour avant
vor allem	avant tout

blau	bleu
sie hat ein blaues Auto gekauft	elle a acheté une voiture bleue

das Flugzeug	l'aviant
mit dem Flugzeug fliegen	aller en aviant

viel	beaucoup
sie hat viele Bücher	elle a beaucoup de livres
das gefällt mir sehr	j'aime beaucoup ça

mit	avec
sie ist mit ihm gekommen elle est venue avec lui

haben	avoir
ich habe viele Freunde	j'ai beaucoup d'amis

der Bus	l'autobus
mit dem Bus fahren	prendre l'autobus
die Bushaltestelle	l'arrêt d'autobus

schön	beau / beau / beaux / bel / belle / belles
das Wetter ist schön	il fait beau

trinken	boire
sie hat Wein getrunken	elle a bu du vin

der April	l'avril
im April	en avril
der erste April / am ersten April	le premier avril
der fünfzehnte April	le quinze avril

der Herbst	l'automne
im Herbst	en automne

die Meinung	l'avis
meiner Meinung nach	à mon avis
was ist Ihre Ansicht?	quel est votre avis?
er ist anderer Ansicht	il est d'un autre avis

auch	aussi
ich weiß die Antwort auch	je connais aussi la réponse
ich auch	moi aussi
du auch	toi aussi

weiß	blanc / blanche
obwohl	bien que
obwohl es regnet, geht er spazieren	bien qu'il pleuve, il se promène

bald	bientôt
bis bald	à bientôt

das Kind	l'enfant
wie viele Kinder hat sie?	combien d'enfants a-t-elle?

die Enkelkinder	les petits-enfants
meine Großeltern haben zehn Enkelkinder	mes grands-parents ont dix petits-enfants
die Enkelin / die Enkeltochter	la petite-fille
der Enkel / der Enkelsohn	le petit-fils

gelb	jaune
welche Farbe hat dein Auto? Gelb	de quelle couleur est ta voiture? Jaune

wenig	peu
er hat wenig Geld	il a peu d'argent
sprechen Sie Französisch? Ja, ein bisschen	parlez-vous français? Oui, un peu
nach und nach	peu à peu

gesund	sain
die Gesundheit	la santé
auf Ihr Wohl!	à votre santé / à la vôtre!
Prost!	santé!

sprechen	parler
ich habe mit Paul gesprochen	j'ai parlé avec Paul
ich habe von diesem Buch gesprochen	j'ai parlé de ce livre
sprechen Sie Französisch?	parlez-vous français?

vier	quatre
er hat vier Autos	il a quatre voitures
wann / als	quand
wann gehst du?	quand pars-tu?
ich traf ihn, als er das Haus verließ	je le rencontrai quand il quittait la maison

voll	plein
la bouteille est pleine
der Koffer ist voller Geld	la valise est pleine d'argent

hören	entendre
ich hab nicht gehört, was er gesagt hat	je n'ai pas entendu ce qu'il a dit
ich habe es im Radio gehört	je l'ai entendu à la radio

zwischen	entre
das Buch liegt zwischen der ersten und fünften Schachtel	le livre est entre la première et la cinquième boîte
wir reisen zwischen fünf und sechs Uhr ab	nous partirons entre cinq et six heures

lassen	laisser
lass ihn gehen	laisse-le partir

die Eltern	les parents
meine Mutter und mein Vater sind meine Eltern	ma mère et mon père sont mes parents

die Kirche	l'église
in die Kirche gehen	aller à l'église

schreiben	écrire
hast du schon den Brief an Pierre geschrieben?	as-tu déjà écrit la lettre à Pierre?

noch	encore
sie sind noch nicht angekommen ils ne sont pas encore arrivés
noch mal	encore une fois

in / im / nach	en
im Jahr 2008	en deux mile huit
ich wohne in Frankreich	j'habite en France
ich fahre nach Frankreich	je vais en France

ein Schüler un élève
eine Schülerin	une élève
wie viele Schüler gehen in diese Schule?	combien d'élèves fréquentent cette école?

informieren	informer
er hat mich informiert, dass sie um zwei Uhr ankommen	il m'a informé qu'ils viendraient à deux heures
die Information	l'information
wir haben keine Informationen	nous n'avons pas d'informations

sich interessieren	s'intéresser 
das interessiert mich nicht	ça ne m'intéresse pas
das Interesse	l'intérêt
interessant	intéressant

niemals	jamais
ich war noch nie in Paris	je n'ai jamais été à Paris

die Großmutter	la grand-mère
meine Großmutter lebt in Amerika	ma grand-mère vit en Amérique
der Großvater	le grand-père
die Großeltern	les grands-parents

groß	grand
das Haus ist groß	la maison est grande

der Kopf	la tête
sich den Kopf zerbrechen	se casser la tête

schrecklich	terrible
es gab einen schrecklichen Unfall	il y a eu un accident terrible

halten	tenir
sie hielt ein Buch in der Hand	elle tenait un livre à la main

die Zeit / das Wetter	le temps
ich habe keine Zeit	je n'ai pas le temps
die ganze Zeit	tout le temps
gleichzeitig / zur gleichen Zeit	en même temps
wie ist das Wetter?	quel temps fait-il?

das Taxi	le taxi
ein Taxi rufen	appeler un taxi
ein Taxi nehmen	prendre un taxi

die Mutter	la mère

der Vater	le père

die Eltern	les parents

der Sohn	le fils

heißen	s'appeler
wie heißen Sie? Ich heiße Jean	comment vous appelez-vous? Je m'appelle Jean

die Tochter	la fille

die Kinder	les enfants

der Junge 	le garçon

das Mädchen	la jeune fille

der Bruder	le frère

mein jüngerer Bruder	mon frère cadet

die Schwester	la sœur

meine ältere Schwester	ma sœur aînée

die Geschwister	les frères et sœurs

der Großvater	le grand-père

