die Tätigkeit	l'activité
Mein Bruder liebt manuelle Tätigkeiten.	Mon frère aime beaucoup les activités manuelles.

die Tag	l'action
Ich verstehe seine Handlungen nicht.	Je ne comprends pas ses actions.

Und ihr, was macht ihr heute Nachmittag?	Et vous, que faites-vous cet après-midi?

Lass am Flughafen dein Gepäck in der Gepäckaufbewahrung.	À l'aéroport, tu laisseras tes bagages à la consigne.

handeln	agir
Wir müssen sofort handeln, sonst ist es zu spät.	Il faut agir tout de suite, sinon il sera trop tard.

die Angelegenheit	l'affaire
Das sind meine Angelegenheiten und ich werde mich darum kümmern.	Ce sont mes affaires et c'est à moi de m'en occuper.

benutzen	utiliser
Er verwendet englische Wörter in seinen Nachrichten.	Il utilise des mots anglais dans ses messages.

stellen / legen / setzen	mettre
Ich haben meinen Schreibtisch vor das Fenster gestellt.	J'ai mis mon bureau devant la fenêtre.

tragen	porter
Können Sie mir helfen meinen Koffer zu tragen?	Pouvez-vous m'aider à porter ma valise?

Auf diesem Foto hält meine Mutter meine kleine Schwester im Arm.	Sur cette photo, ma mère tient ma petite sœur dans ses bras.

ziehen	tirer
Wir können diese Kiste nicht tragen, wir müssen sie ziehen.	Nous ne pouvons pas porter cette caisse, il faudra la tirer.

drücken, schieben	pousser
Du musst die Tür drücken und nicht ziehen.	Il faut pousser la porte, pas la tirer.

drücken	appuyer
Zum Öffnen auf den Knopf drücken.	Appuyer sur le bouton pour ouvrir.

drehen	tourner
Kannst du den Fernseher zu mir drehen? Ich sehe nichts.	Tu peux tourner la télé vers moi? Je ne vois rien.

brauchen / benötigen	avoir besoin de
Ich brauche Ruhe, um zu arbeiten.	Pour travailler, j'ai besoin de calme.

Ich suche nun schon seit sechs Monaten eine Stelle.	Ça fait six mois que je cherche un emploi.

finden	trouver
Sie finden die Adresse des Hotels im Telefonbuch.	Vous trouverez l'addresse de l'hôtel dans l'annuaire.

wiederfinden	retrouver
Ich habe meine Brille unter meinem Bett wiedergefunden.	J'ai retrouvé mes lunettes sous mon lit.

entfernen / wegnehmen	enlever
Nimm deine Füße da weg!	Enlève tes pieds de là!

trennen	séparer
Man sollte behinderte Kinder nicht von den anderen trennen.	On ne devrait pas séparer les enfants handicapés des autres.

vollmachen	remplir
Kannst du diese Flasche mit frischem Wasser füllen.	Peux-tu remplir cette bouteille d'eau fraîche?

verlassen	quitter
Bevor Sie das Hotel verlassen, geben Sie den Zimmerschlüssel ab.	Avant de quitter l'hôtel, rendez la clé de la chambre.

sich fertig machen	se préparer
Mach dich fertig, wir gehen in einer halben Stunde.	Prépare-toi, nous partons dans une demi-heure.

Ich wollte dich nicht wecken, du hast so gut geschlafen.	Je n'ai pas voulu te réveiller, tu dormais si bien!

einschlafen	s'endormir
Ich bin vor dem Ende der Sendung eingeschlafen.	Je me suis endormie avant la fin de l'émission.

aufwachen	se réveiller
Wegen des Gewitters sind die Kinder in der Nacht aufgewacht.	À cause de l'orage, les enfants se sont réveillés dans la nuit.

aufstehen	se lever
Ich habe beschlossen, früh aufzustehen, um Frühstück zu haben.	J'ai décidé de me lever tôt pour prendre le petit-déjeuner.

müde	fatigué / fatiguée
Die Kinder waren müde und sind schnell eingeschlafen.	Les enfants étaient fatigués et se sont vite endormis.

sich ausruhen	se reposer
Am Wochenende ruhe ich mich aus, da wird nicht gearbeitet.	Le week-end , je me repose, pas question de travailler!

Ich gehe in die Stadt. Ich muss ein paar Sachen einkaufen.	Je vais en ville. J'ai deux ou trois choses à acheter.

der Gegenstand	l'objet
Der Dachboden meiner Großeltern ist voll alter Gegenstände.


