die Ansicht	l'avis
Meiner Meinung nach sollten wir ihn nicht aufs Internat schicken.	À mon avis, on ne devrait pas l'envoyer en pension.

meinen	penser
Meinen Sie das, was Sie sagen, ernst?	Vous pensez sérieusement ce que vous dites?

der Rat	le conseil
Gib mir einen guten Rat, wie ich den Truthahn zubereiten soll.	Donne-moi un bon conseil pour préparer la dinde.

raten	conseiller
Was raten Sie mir, das Flugzeug oder den Zug?	Que me conseillez-vous, l'aion ou le train?

empfehlen	recommander
Der Führer empfielt das Hotel zu den drei Enten.	Le guide recommande l'Hôtel des Trois Canards.

vorschlagen	proposer
Ich schlage vor, wir machen einen Waldspaziergang.	Je propose de faire une promenade en forêt.

überzeugt	convaincu
Er ist ein überzeugter Anhänger der Europäischen Union.	C'est un partisan convaincu de l'Union européenne.

überzeugen	convaincre
Wie soll man die Leute davon überzeugen, weniger zu verbrauchen?	Comment convaincre les gens de consommer moins?

tolerieren	tolérer
Unser Lehrer duldet es nicht, wenn wir zu spät kommen.	Notre professeur netolère pas que nous arrivions en retard.

vorziehen	préférer
Mein Vater liebte mich nicht und bevorzugte meine Schwester.	Mon père ne m'aimat pas et préférait ma sœur.

einverstanden sein	accepter
Ich bin mit den Vertragsbedingungen einverstanden.	J'accepte les conditions du contrat.

zustimmen	être d'accord
Wir verstehen uns gut, obwohl wir nicht immer einer Meinung sind.	On s'entend bien, même si on n'est pas toujours d'accord.

Er muss immer recth haben.	Il veut toujours avoir raison.
Du weißt, dass du unrecht hast, also hör auf zu diskutieren.	Tu sais que tu as tort, alors arrête de discuter!

genau / genaue	précis
Ich habe eine genaue Vorstellung von meiner zukünftigen Arbeit.	J'ai une idée précise de mon futur emploi.

genau / Adverb	justement
Das trifft sich gut, genau das Buch wollte ich lesen.	Ça tombe bien, c'est justement le livre que je voulais lire.
Ganz genau!	Tout à fait!

Für mich ist diese Prüfung von allergrößter Wichtigkeit.	Pour moi, cet examen est de la plus haute importance.

Für mich ist die Familie sehr wichtig.	Pour moi, la famille, c'est important.

die Kritik	la critique
Ich hätte da eine Kritik: Die Besichtigung hat zu lange gedauert.	Moi, j'aurais une critique à faire: la visite étai trop longue.

kritisieren	critiquer
Es gibt Leute, die alles kritisieren.	Il y a des gens qui critiquent tout.

das heißt	c'est-à-dire
Sie verdient den gesetzlichen Mindestlohn, das heißt sehr wenig.	Elle gange le SMIC, c'est-à-dire très peu.

Wir könnten zum Beispiel ins Kino gehen.	On pourrait par exemple aller au cinéma.

gegen	contre
Ich war schon immer gegen die Todesstrafe, und Sie?	J'ai toujours été contre la peine de mort, et vous?


