das Gesicht	le visage
Sein Gesicht kommt mir bekannt vor. Son visage me dit quelque chose.

das Gesicht / anderes Wort als visage	la figure
Er ist mit braun gebranntem Gesicht vom Skifahren zurückgekommen.	Il est revenu du ski avec la figure bronzée.

das Haar / die Haare	les cheveux
Zurzeit haben die Jungen eher kurze Haare.	En ce moment, les garçons ont plutôt les cheveux courts.

ähneln / gleichen	ressembler à
Sie gleicht mehr ihrem Vater als ihrer Mutter.	Elle ressemble plus à son père qu'à sa mère.

sich ähnlich sein / sich gleichen	se ressembler
Sie sind sich überhaupt nicht ähnlich.	Ils ne se ressemblent pas du tout.

hübsch	joli / jolie
Ich finde deine Schwester mit kurzen Haaren hübscher.	Je trouve ta sœur plus jlie avec les cheveux courts.

die Schönheit	la beauté
Sie ist zwar keine Schönheit, aber sie ist sehr nett.	Ce n'est pas un beauté, mais elle est très gentille.

schön	beau / bel / belle / beaux
Laurent ist nicht sehr schön, aber er ist charmant.	Laurent n'est pas très beau, mais il est charmant.

attraktiv / anziehend	attirant /attirante
Diese große blonde Frau ist wirklich sehr attraktiv.	Cette grande femme blonde est vraiment très attirante.

hässlich	laid / laide
Ludwig der elfte war angeblich sehr hässlich.	Louis XI était, paraît-il, très laid.

hässlich / anderes Wort als laid	moche
Ihr findet ihn hässlich? Also, mir gefällt er.	Vous le trouvez moche? Eh bien moi, il me plaît.

eine gute Figur haben	être bien fait / être bien faite
Auf diesem Foto hat sie wirklich eine gute Figur.	Elle est vraiment bien faite sur cette photo.

groß	grand / grande
De Gaule war so groß, dass er ein Spezialbett brauchte.	De Gaule était si grand qu'il lui falait un lit spécial.

klein	petit / petite
Edit Piaf war ganz klein.	Edith Piaf était toute petite.

dick	gros / grosse
Er ist nicht viel und trotzdem ist er dick.	Il ne mange pas beaucoup et pourtant il est gros.

dünn / mager	maigre
Du bist zu dünn, weil du nicht genug isst.	Tu es trop maigre, car tu ne manges pas assez.

schlank	mince
Topmodels sind nicht schlank, sie sind echt mager.	Les top-model ne sont pas minces, elles sont carrément maigres.

blass	pâle
Als er erfuhr, dass er in Gefahr ist, wurde er ganz blass.	Quand il a su qu'il était en danger, il est devenu tout pâle.

die Frisur	la coiffure
Ich dinde, dass dir deine neue Frisur sehr gut steht.	Je trouve que ta nouvelle coiffure te va très bien.

sich frisieren	se coiffer
Mit meinen Haaren brauche ich Stunden, um mich zu frisieren.	Avec ces cheveux, quand je me coivee, j'en ai pour des heures.

blond	blond / blonde
Sie ist ein Mädchen mit blauen Augen und blonden Haaren.	C'est une file aux yeux bleus et aux cheveux blonds.

dunkelhaarig / brünett / braun	brun / brune
Meine Frau ist dunkelhaarig, aber alle unsere Kinder sind blond.	Ma femme est brune, mais tous nos enfants sont blonds.

grauhaarig	aux cheveux gris
Der alte grauhaarige Mann da, ist das dein Großvater?	Ce vieil homme aux cheveux gris, c'est ton grand-père?

schwarzhaarig	aux cheveux noirs
Das ist das perfekte Make-up für schwarzhaarige Frauen.	C'est le maquillage parfait pour les femmes aux cheveux noirs.

rothaarig	roux / rousse
Nein, nicht alle Engländer sind rothaarig!	Non, tous les Anglais ne sont pas roux!

hell	clair / claire
Deine Krawatte ist zu hell für ein weißes Hemd.	Ta cravate est trop claire pour aller avec une chemise blanche.

dunkel	foncé / foncée
Bei einer Beerdigung trägt man eher dunkle Kleidung.	Lors d'un enterrement, on porte plutôt des vêtements foncés.


