familär	familial
Wie jedes Jahr gibt es wieder ein großes Familientreffen.	Comme tous les ans, il y aura une grande réunion familiale.

die Familie	la famille
die Großfamilie	la grande famille
der Papa	le papa
die Mutti	la maman
die Geschwister	les frères et sœurs
der Opa	le papi
die Oma	la mamie

zusammenleben	vivre ensemble
Sie leben seit zehn Jahren zusammen aber sind nicht verheiratet.	Ils vivent ensemble depuis dix ans mais ne sont pas mariés.

sich kümmern um	s'occuper de
Er kümmert sich um seine alten Eltern.	Il s'occupe de ses parents âgés.

die Liebe	l'amour
Kann man ohne Liebe leben?	Est-ce qu'on peut vivre sans amour?

lieben	aimer
Ich liebe dich seit dem ersten Tag.	Je t'aime depuis le premier jour.

sich lieben	s'aimer
Sie lieben sich und glauben alles voneinander zu wissen.	Ils s'aiment et pensent tout savoir l'un de l'autre.

der Hass	le haine
Ich habe keinen Hass auf ihn. Das verdient er nicht.	Je ne sens pas de haine contre lui; il n'en mérite pas.

hassen	haïr
Ich hasse ihn nicht, obwohl er mir so viel Leid angetan hat.	Je ne le hais pas, malgré tout le mal qu'il m'a fait.

verliebt	amoureux / amourese
Er ist in Anne verliebt.	Il est amoureux d'Anne.

sich verlieben	tomber amoureux
Sie hat sich in den Freund ihres Bruders verliebt.	Elle est tombée amoureuse de l'ami de son frère.

der Kuss	le baiser
Den ersten Kuss vergisst man nie.	Le premier baiser, c'est celui qu'on n'oublie jamais.

küssen	embrasser
Er hat sie mit geschlossenen Augen geküsst.	Il l'a embrassée les yeux fermés.

umarmen	prendre dans ses bras
Nachdem er sie geküsst hatte, umarmte er sie zärtlich.	Après l'avoir embrassée, il l'a prise tendrement dans ses bras.

die Hochzeit	le mariage
Mein Bruder wollte keine kirchliche Hochzeit.	Mon frère ne voulait pas de mariage à l'église.

heiraten	se marier
Pierre und seine Braut haben gespart, um heiraten zu können.	Pierre et sa fiancée ont fait des économies pour se marier.

der Ehemann	le mari
Jules ist Gisèles Ehemann.	Jules est le mari de Gisèle.

die Ehefrau	la femme
Gisèle ist die Ehefrau von Jules.	Gisèle es la femme de Jules.

