Alle Menschen sind gleich.	Tous les hommes sont égaux.

Sie führen ein ruhiges Leben.	Ils mènent une vie tranquille.

lebend	vivant
Meine vier Großeltern sind noch am Leben.	Mes quatre grands-parents sont encore vivants.

leben	vivre
Picasso hat sehr lange gelebt.	Picasso a vécu très vieux.

die Geburt	la naissance
Die Geburt meines Babys soll am 19. Mai sein.	La naissance de mon bébé est prévue pour le 19 mai.

zur Welt kommen	naître
Ich bin an einem 29. Februar geboren.	Je suis née un 29 février.

die Kindheit	l'enfance
Er hat einen Teil seiner Kindheit in Südfrankreich verbracht.	Il a passé une partie de son enfance dans le Midi.

die Jugend	la jeunesse
Während meiner Jugend bin ich viel gereist.	Pendant ma jeunesse j'ai beaucoup voyagé.

jung / jugendlich	jeune
Du bist noch zu jung, um abends allein auszugehen.	Tu es encore trop jeune pour sortir seul le soir.

der Erwachsene	l'adulte
Dieser Film ist nur für Erwachsene.	Ce film est réservé aux adultes.

erwachsen	adulte
Wann wird man erwachsen?	Quand devient-on adulte?

das Alter	la vieillesse
Wenn man jung ist, denkt man nicht ans Alter.	Lorsqu'on est jeune, on ne pense pas à la vieillesse.

alt	vieux
Mein Großvater ist sehr alt.	Mon grand-père est très vieux.

das Alter	l'âge
Ab einem gewissen Alter zählen die Jahre doppelt.	À partir d'un certain âge, les années comptent double.

alt / nicht vieux	âgé
Es gibt immer mehr alte Leute.	Les personnes âgées sont de plus an plus nombreuses.

Mein Onkel ist schon sechzig Jahre alt.	Mon oncle a déjà soixante ans.

aufwachsen	grandir
Was bist du schnell gewachsen.	Que tu as vite grandi.

der Tod	la mort
Ich habe sie am Tag vor ihrem Tod auf der Straße getroffen.	Je l'ai rencontrée dans la rue la veille de sa mort.

tot	mort
Meine Großeltern sind schon lange tot.	Mes grands-parents sont morts depuis longtemps.

tödlich	mortel
Der Soldat starb an den Folgen einer tödlichen Verletzung.	Le soldat est mort à la suite d'une blessure mortelle.

sterben	mourir
Wenn dich diese Schlange beißt, stirbst du in wenigen Minuten.	Sie ce serpent te mord, tu meurs en quelques minutes.

das Grab	la tombe
Heute morgen sind wir zum Grab unserer Großeltern gegangen.	Ce matin, nous sommes allés sur la tombe de nos grands-parents.

die Beerdigung	l'enterrement
Das ganze Dorf war zur Beerdigung des Bürgermeisters gekommen.	Tout le village était venu à l'enterrement du maire.

enterrer	beerdigen
Sie möchte neben ihrem Mann beerdigt werden.	Elle veut être enterrée à côté de son mari.

Es gibt viel weniger Witwer als Witwen.	Il y a beaucoup moins de veufs que de veuves.


