der Herr	le monsieur
Zwei gut gekleidete Herren begleiten die Präsidentin.	Deux messieurs bien habillés accompagnent la présidente.

der Mann	l'homme
In der Nationalversammlung gibt es mehr Männer als Frauen.	À l'Assemblée, il y a plus d'hommes que de femmes.

Frau	madame
Während Ihres Praktikums wird sich Frau Martin um Sie kümmern.	C'est Madame Martin qui s'occupera de vous pendant votre stage.

die Frau	la femme
Es gibt ein Lied, das sagt, dass alle Frauen schön sind.	Il y a une chanson qui dit que toutes les femmes sont belles.

die Dame	la dame
Wer ist diese Dame neben dem Direktor?	Qui est cette dame à côté du directeur?

das Fräulein	la mademoiselle
Ich stelle Ihnen Fraulein Legrand, meine ältere Schwester, vor.	Je vous présente Mademoiselle Legrand, ma sœur aînée.

das Kind	l'enfant
Kinderreiche Familien haben selten mehr als vier Kinder.	Les familles nombreuses on rarement plus de quatre enfants.

der Junge	le garçon
Der erste Junge mit dem ich ausgegangen bin, hieß Thomas.	Le premier garçon avec qui je suis sortie s'appelait Thomas.

das Mädchen	la fille
Früher gingen Jungen und Mädchen nicht in die gleiche Schule.	Jadis, les garçons et les filles n'allaient pas à la même école.

nennen	appeler
Ich heiße Rudolf, aber man nennt mich Rudi.	Je m'appelle Rudolf, mais on m'appelle Rudi.

heißen	s'appeler
Wie heißt du? Ich heiße Jörg.	Comment tu t'appelles? Je m'appelle Jörg.

der Name	le nom
Martin ist der gebräuchlichste französische Name.	Martin es le nom français le plus courant.

der Nachname	le nom de famille
Mein Nachnahme ist Weber, aber Sie können Stefan zu mir sagen.	Mon nom de famille est Weber, mais vous pouvez m'appeler Stefan.

der Vorname	le prénom
Wie heißt du mit Vornamen?	C'est quoi, to prénom?

verheiratet	marié / mariée
Immer mehr nicht verheiratete Paare haben Kinder	De plus en plus de couples non mariés ont des enfants.

verwitwet	veuf / veuve
Mein Schwager ist verwitwet, aber er will nicht wieder heiraten.	Mon beau-frère est veuf, mais il ne veut pas se remarier.

getrennt	séparé / séparée
Sie sind seit fünf Jahren getrennt, aber sie treffen sich oft.	Ils sont séparés depuis cinq ans, mais ils se voient souvent.

die Person	la personne
Könnte ich einen Tisch für vier Personen reservieren?	Je pourrais réserver une table pour quatre personnes?

die Adresse	l'adresse
die Straße	la rue
die Hausnummer	le numéro de la maison

