sehen	voir
Entschuldigen Sie bitte! Ich hatte Sie nicht gesehen.	Oh pardon! Je ne vous avais pas vu!

der Blick	le regard
Sie hat einen sehr sanften Blick.	Elle a un regard très doux.

ansehen	regarder
Ich sehe mir alle Fußballspiele an.	Je regarde tous les matchs de football.

hören	entendre
Er hört auf dem linken Ohr schlecht.	Il entend mal de l'oreille gauche.

zuhören	écouter
Hör mal! Hörst du das merkwürdige Geräusch nicht?	Écoute! Tu n'entends pas un bruit bizarre?

das Geräusch	le bruit
Im Winter liebe ich das Geräusch von Schnee unter meinen Schuhen.	En hiver, j'aime le bruit de la neige sous mes chaussures.

berührer	toucher
Bitte nichts berühren.	Prière de ne toucher à rien.

der Geruch	l'odeur
Sie kann diesen Geruch nicht ausstehen.	Elle ne peut pas supporter cette odeur.

der Duft	le parfum
Ich liebe den Duft frischen Brotes.	J'aime le parfum du pain frais.

der Sinn	le sens
Der Mensch hat fünf Sinne.	L'homme a cinq sens.

die Empfindung	la sensation
Gleitschirmfliegen gibt mir ein Gefühl von Freiheit.	Faire du parapente me donne une sensation de liberté.

fühlen / riechen	sentir
Sie können anfangen. Ich fühle nichts mehr.	Vous pouvez commencer, je ne sens plus rien.


