Um wie viel Uhr?	À quelle heure?
Um ein Uhr.	À une heure.
Um sieben Uhr.	À sept heures.
Um Viertel nach drei.	À trois heures et quart.
Um halb sieben.	À six heures et demie.
Um Viertel vor neun. À neuf heures moins le quart.
eine halbe Stunde früher	une demi-heure plus tôt
eine halbe Stunde später	une demi-heure plus tard

Montag	lundi
Dienstag	marid
Mittwoch 	mercredi
Donnerstag	jeudi
Freitag	vendredi
Samstag	samedi
Sonntag	dimanche

im Januar	en janvier
Februar	février
März	mars
April	avril
Mai	mai
Juni	juin
Juli	juillet
August	août
September	septembre
Oktober	octobre
November	novembre
Dezember	décembre

der Frühling	le printemps
der Sommer	un été
der Herbst	un automne
der Winter	un hiver
im Frühling	au printemps

im Oktober	en octobre
am ersten Oktober	en premier octobre
am fünfzehnten Oktober	en quinze octobre
